barrio,stock_avisos,precio_usd_promedio,precio_usd_mediana,precio_m2_promedio,precio_m2_mediana,sup_promedio_m2,ambientes_promedio,fecha_snapshot
palermo,115,353679.0,218000.0,3570.3,3191.9,90.5,2.51,2026-03-21
belgrano,70,356497.0,192500.0,3169.0,2988.8,106.6,2.74,2026-03-21
recoleta,52,304160.0,215000.0,3062.3,2745.2,106.2,3.37,2026-03-21
caballito,41,205971.0,155000.0,2433.2,2300.0,81.2,2.76,2026-03-21
villa urquiza,24,183357.0,148500.0,2721.9,2873.4,71.2,2.13,2026-03-21
nunez,23,379588.0,237350.0,3449.1,3378.4,101.7,2.83,2026-03-21
villa crespo,22,156230.0,123410.0,2390.8,2426.0,68.5,2.05,2026-03-21
puerto madero,20,900528.0,555000.0,6534.4,5753.8,119.2,2.65,2026-03-21
almagro,18,138739.0,129950.0,2061.5,2024.1,70.4,2.67,2026-03-21
colegiales,16,254986.0,222075.0,2839.0,2677.1,88.2,2.69,2026-03-21
balvanera,15,97559.0,79000.0,1838.3,1789.5,60.5,2.2,2026-03-21
saavedra,13,145103.0,138000.0,2461.0,2419.4,58.2,2.08,2026-03-21
barrio norte,12,293163.0,185000.0,2947.3,2688.9,92.9,3.08,2026-03-21
villa devoto,11,264604.0,225300.0,2829.5,2675.0,89.8,2.45,2026-03-21
villa del parque,10,122460.0,106400.0,2277.6,2209.0,54.1,1.9,2026-03-21
retiro,10,397600.0,280000.0,3246.0,3065.2,132.1,3.1,2026-03-21
coghlan,9,132339.0,122850.0,2529.6,2490.0,53.2,2.0,2026-03-21
flores,8,114726.0,95100.0,2128.1,2012.9,53.4,2.12,2026-03-21
villa santa rita,7,154500.0,110000.0,2214.0,2166.7,69.9,2.29,2026-03-21
villa ortuzar,6,154383.0,117850.0,2659.4,2548.5,56.7,2.33,2026-03-21
caballito sur,6,262798.0,272048.0,2976.4,3088.4,89.0,2.83,2026-03-21
caballito norte,6,156733.0,132500.0,2699.8,2912.6,56.8,2.5,2026-03-21
san cristobal,6,81306.0,72417.0,1809.4,1821.8,48.2,1.83,2026-03-21
barracas,5,121280.0,142600.0,1782.4,2263.5,72.8,2.8,2026-03-21
liniers,5,94560.0,90000.0,2494.5,2571.4,38.4,1.4,2026-03-21
monserrat,5,82780.0,78900.0,2301.1,2300.0,37.0,1.4,2026-03-21
congreso,4,77875.0,71000.0,1558.8,1645.4,50.2,2.25,2026-03-21
villa pueyrredon,4,131725.0,132450.0,2437.6,2443.9,54.5,2.25,2026-03-21
san telmo,4,108575.0,112200.0,2062.1,2089.8,55.8,2.0,2026-03-21
villa luro,4,123000.0,127500.0,2063.6,1958.6,61.5,2.25,2026-03-21
parque chacabuco,4,110500.0,71750.0,1893.4,1706.0,54.0,1.75,2026-03-21
centro / microcentro,3,95833.0,78000.0,2345.1,2148.1,39.7,1.67,2026-03-21
constitucion,3,123333.0,150000.0,1082.5,949.4,114.3,3.67,2026-03-21
abasto,3,107667.0,78000.0,2092.1,2228.6,49.7,2.33,2026-03-21
la paternal,3,94967.0,96000.0,2110.3,2181.8,44.0,2.0,2026-03-21
la boca,3,83333.0,76000.0,1481.9,1647.9,58.3,3.0,2026-03-21
once,3,210467.0,211400.0,1666.5,1473.7,132.0,3.33,2026-03-21
parque patricios,2,98657.0,98657.0,2118.4,2118.4,45.0,1.5,2026-03-21
chacarita,2,149725.0,149725.0,3375.9,3375.9,45.0,1.5,2026-03-21
velez sarsfield,2,77000.0,77000.0,1540.4,1540.4,51.5,2.0,2026-03-21
tribunales,2,111000.0,111000.0,1163.2,1163.2,96.5,5.0,2026-03-21
mataderos,2,153000.0,153000.0,1898.4,1898.4,84.0,3.0,2026-03-21
almagro sur,1,89900.0,89900.0,2568.6,2568.6,35.0,2.0,2026-03-21
barrio parque,1,129000.0,129000.0,3909.1,3909.1,33.0,2.0,2026-03-21
boedo,1,82360.0,82360.0,2225.9,2225.9,37.0,1.0,2026-03-21
parque chas,1,95000.0,95000.0,1900.0,1900.0,50.0,1.0,2026-03-21
monte castro,1,85000.0,85000.0,2361.1,2361.1,36.0,1.0,2026-03-21
floresta,1,81450.0,81450.0,925.6,925.6,88.0,2.0,2026-03-21
parque centenario,1,129000.0,129000.0,2224.1,2224.1,58.0,2.0,2026-03-21
lomas de nunez,1,194000.0,194000.0,1603.3,1603.3,121.0,3.0,2026-03-21
san nicolas,1,110000.0,110000.0,2558.1,2558.1,43.0,1.0,2026-03-21
