barrio,n_radios,poblacion,viviendas,hogares,hogares_nbi,area_km2_censo,densidad_pob_km2,densidad_viv_km2,pct_nbi,pob_por_hogar,viv_por_habitante,score_densidad
Villa Santa Rita,38,33325.0,14589.0,12518.0,480.0,2.153553300127763,15474.4,6774.4,3.83,2.66,0.4378,45.5
Villa del Parque,68,55273.0,26027.0,21938.0,192.0,3.3997856970961315,16257.8,7655.5,0.88,2.52,0.4709,48.0
Villa General Mitre,42,34713.0,15116.0,12969.0,492.0,2.1621250929171145,16055.0,6991.3,3.79,2.68,0.4355,47.4
Villa Devoto,81,66521.0,29002.0,24035.0,280.0,6.374571772574057,10435.4,4549.6,1.16,2.77,0.436,29.4
Villa Pueyrredón,42,39654.0,17457.0,15148.0,273.0,3.2980838921109847,12023.3,5293.1,1.8,2.62,0.4402,34.5
Agronomía,19,13912.0,6262.0,5284.0,70.0,2.122096208202079,6555.8,2950.9,1.32,2.63,0.4501,17.0
La Paternal,22,19717.0,7771.0,6938.0,550.0,2.2294810068624447,8843.8,3485.6,7.93,2.84,0.3941,24.3
Parque Chas,24,17489.0,7530.0,6466.0,85.0,1.3849736820582637,12627.7,5436.9,1.31,2.7,0.4306,36.4
Chacarita,34,27761.0,13057.0,10787.0,785.0,3.118096468441569,8903.2,4187.5,7.28,2.57,0.4703,24.5
Villa Ortúzar,27,21736.0,9757.0,8285.0,291.0,1.853749738906378,11725.4,5263.4,3.51,2.62,0.4489,33.5
Villa Crespo,112,81959.0,42069.0,34705.0,1324.0,3.6130682718148677,22684.0,11643.6,3.82,2.36,0.5133,68.6
Caballito,215,176076.0,93481.0,75189.0,1656.0,6.8505640250025035,25702.4,13645.7,2.2,2.34,0.5309,78.2
Monte Castro,37,33623.0,14396.0,12363.0,239.0,2.6273002314858735,12797.5,5479.4,1.93,2.72,0.4282,37.0
Floresta,45,37575.0,16385.0,14165.0,995.0,2.320387597346414,16193.4,7061.3,7.02,2.65,0.4361,47.8
Flores,183,164310.0,65408.0,60248.0,6234.0,8.59282116734808,19121.8,7611.9,10.35,2.73,0.3981,57.2
Villa Real,16,13419.0,5662.0,4920.0,44.0,1.31991150179068,10166.6,4289.7,0.89,2.73,0.4219,28.5
Versalles,17,13822.0,5916.0,5021.0,41.0,1.4041455229403936,9843.7,4213.2,0.82,2.75,0.428,27.5
Villa Luro,37,32502.0,14141.0,12002.0,340.0,2.5665255622671572,12663.8,5509.8,2.83,2.71,0.4351,36.5
Vélez Sarsfield,45,35081.0,15164.0,12982.0,490.0,2.400593747017741,14613.5,6316.8,3.77,2.7,0.4323,42.8
Villa Urquiza,102,91563.0,45005.0,36944.0,662.0,5.448380799689566,16805.5,8260.3,1.79,2.48,0.4915,49.8
Saavedra,61,50295.0,22035.0,18976.0,299.0,5.533493669198575,9089.2,3982.1,1.58,2.65,0.4381,25.1
Núñez,65,51949.0,29296.0,22700.0,503.0,4.349397835185701,11944.0,6735.6,2.22,2.29,0.5639,34.2
Colegiales,70,52551.0,28823.0,22891.0,834.0,2.2896250621538328,22951.8,12588.5,3.64,2.3,0.5485,69.4
Belgrano,170,126267.0,71363.0,54666.0,542.0,7.729647516297381,16335.4,9232.4,0.99,2.31,0.5652,48.3
Palermo,295,226534.0,141710.0,103167.0,2425.0,15.982109773941774,14174.2,8866.8,2.35,2.2,0.6256,41.4
Liniers,56,44132.0,20101.0,16614.0,368.0,4.374882036650277,10087.6,4594.6,2.21,2.66,0.4555,28.3
Mataderos,77,64436.0,25450.0,22658.0,868.0,7.394224719067966,8714.4,3441.9,3.83,2.84,0.395,23.9
Parque Avellaneda,53,53229.0,17863.0,17223.0,1109.0,4.733434634404114,11245.3,3773.8,6.44,3.09,0.3356,32.0
Parque Chacabuco,67,56281.0,24280.0,21235.0,806.0,3.831838608179081,14687.7,6336.4,3.8,2.65,0.4314,43.0
Almagro,160,131699.0,71216.0,58327.0,3404.0,4.050119545345936,32517.3,17583.7,5.84,2.26,0.5407,100.0
Boedo,58,47306.0,21687.0,18519.0,1248.0,2.6095941108910283,18127.7,8310.5,6.74,2.55,0.4584,54.0
Balvanera,191,138926.0,77981.0,60387.0,7122.0,4.342357078569419,31993.2,17958.2,11.79,2.3,0.5613,98.3
San Cristóbal,63,48611.0,23455.0,20102.0,2438.0,2.043569478786813,23787.3,11477.5,12.13,2.42,0.4825,72.1
Monserrat,64,39914.0,25182.0,17527.0,3372.0,2.19785813149262,18160.4,11457.5,19.24,2.28,0.6309,54.1
San Nicolás,59,29273.0,31953.0,12903.0,1423.0,2.289485776802536,12785.8,13956.4,11.03,2.27,1.0916,36.9
San Telmo,38,20453.0,12145.0,9188.0,905.0,1.231915945927719,16602.6,9858.6,9.85,2.23,0.5938,49.1
Constitución,62,44107.0,21916.0,18238.0,4434.0,2.10284942049458,20974.9,10422.0,24.31,2.42,0.4969,63.1
Parque Patricios,45,40985.0,16432.0,14459.0,1193.0,3.743437304036212,10948.5,4389.5,8.25,2.83,0.4009,31.0
Nueva Pompeya,55,42695.0,15410.0,14460.0,1175.0,4.971080054437005,8588.7,3099.9,8.13,2.95,0.3609,23.5
Villa Lugano,108,126374.0,38915.0,39848.0,4150.0,9.289856594126649,13603.4,4189.0,10.41,3.17,0.3079,39.5
Villa Soldati,38,46779.0,11300.0,13574.0,2278.0,8.732227190005394,5357.1,1294.1,16.78,3.45,0.2416,13.2
Villa Riachuelo,16,14084.0,5212.0,4782.0,154.0,4.271011489539809,3297.6,1220.3,3.22,2.95,0.3701,6.6
Barracas,97,89452.0,33058.0,31249.0,3850.0,7.956271925971811,11243.0,4155.0,12.32,2.86,0.3696,32.0
La Boca,55,45113.0,18133.0,16287.0,3460.0,5.022635477784737,8981.9,3610.3,21.24,2.77,0.4019,24.8
Recoleta,198,157932.0,108136.0,73156.0,1497.0,6.27623075494477,25163.5,17229.4,2.05,2.16,0.6847,76.5
Retiro,91,65413.0,34363.0,24147.0,3104.0,4.526972400666652,14449.6,7590.7,12.85,2.71,0.5253,42.2
Puerto Madero,15,6726.0,5823.0,2465.0,191.0,5.427182916979092,1239.3,1072.9,7.75,2.73,0.8657,0.0
Coghlan,21,18604.0,9005.0,7479.0,101.0,1.279884643346034,14535.7,7035.8,1.35,2.49,0.484,42.5
