barrio,n_parcelas,fot_promedio,fot_mediana,fot_maximo,fot_minimo,fos_promedio,fos_minimo,fos_maximo,altura_max_promedio,altura_max_mediana,altura_max_absoluta,pct_parcelas_sin_altura,dist_cur_dominante,n_distritos_cur,m2_edif_estimado
Villa Santa Rita,20.0,1.68,1.2,3.0,0.0,0.18,0.18,0.18,14.66,11.8,29.8,30.0,R2b II,4.0,336.0
Villa del Parque,3.0,1.507,1.0,3.52,0.0,0.27,0.27,0.27,27.0,27.0,29.8,0.0,AE 26,3.0,301.4
Villa General Mitre,,,,,,,,,,,,,,,
Villa Devoto,186.0,1.109,1.2,3.0,0.0,0.2666,0.18,0.27,12.76,9.0,29.8,20.4,R2b II,7.0,221.8
Villa Pueyrredón,18.0,1.2,1.2,1.2,1.2,0.27,0.27,0.27,9.0,9.0,9.0,61.1,R2b II,2.0,240.0
Agronomía,6.0,1.6,1.6,2.0,1.2,0.27,0.27,0.27,9.0,9.0,9.0,50.0,C3 II 11,2.0,320.0
La Paternal,,,,,,,,,,,,,,,
Parque Chas,22.0,0.895,0.0,3.0,0.0,0.27,0.27,0.27,15.91,9.0,24.2,0.0,U39,4.0,179.0
Chacarita,70.0,1.737,1.6,4.0,0.0,0.27,0.27,0.27,26.1,24.2,39.2,2.9,R2b I,4.0,347.4
Villa Ortúzar,1.0,0.0,0.0,0.0,0.0,0.27,0.27,0.27,,,0.0,100.0,C3 II,1.0,0.0
Villa Crespo,38.0,2.642,3.0,4.0,0.0,0.27,0.27,0.27,28.65,29.8,39.2,18.4,R2a II,8.0,528.4
Caballito,160.0,3.196,3.46,5.41,1.0,0.35,0.35,0.35,33.57,29.8,45.0,38.1,R2a II,6.0,639.2
Monte Castro,9.0,2.391,3.0,3.45,1.2,0.18,0.18,0.18,20.4,24.2,24.2,55.6,R2a II,4.0,478.2
Floresta,42.0,1.338,1.2,5.08,0.0,0.18,0.18,0.18,19.17,11.0,29.8,26.2,U3 e,8.0,267.6
Flores,5.0,1.24,0.0,5.0,0.0,0.132,0.1,0.18,19.73,11.0,39.2,40.0,C2,5.0,248.0
Villa Real,107.0,1.2,1.2,1.2,1.2,0.18,0.18,0.18,9.0,9.0,9.0,99.1,R2b II,2.0,240.0
Versalles,120.0,1.0,1.0,1.0,1.0,0.18,0.18,0.18,,,0.0,100.0,R1b I,2.0,200.0
Villa Luro,37.0,1.581,1.6,3.46,0.0,0.18,0.18,0.18,19.42,14.6,39.2,54.1,R2b I,5.0,316.2
Vélez Sarsfield,21.0,1.364,1.2,3.0,0.0,0.18,0.18,0.18,12.0,9.0,29.8,42.9,R2b II,4.0,272.8
Villa Urquiza,12.0,2.183,1.6,3.44,1.0,0.35,0.35,0.35,22.11,29.8,29.8,25.0,R2a II,4.0,436.6
Saavedra,13.0,1.356,1.6,3.0,0.0,0.27,0.27,0.27,21.62,24.2,29.8,30.8,R2b I,7.0,271.2
Núñez,94.0,2.254,1.6,4.0,0.0,0.35,0.35,0.35,23.77,19.4,45.0,4.3,R2b I,5.0,450.8
Colegiales,579.0,2.003,1.6,8.65,0.0,0.35,0.35,0.35,20.19,14.6,45.0,0.0,R2b I,8.0,400.6
Belgrano,142.0,2.276,3.0,6.96,1.0,0.35,0.35,0.35,23.43,29.8,45.0,27.5,E3,7.0,455.2
Palermo,102.0,2.293,1.0,16.72,0.0,0.3466,0.0,0.35,32.27,29.8,45.0,59.8,APH 3,11.0,458.6
Liniers,2.0,2.0,2.0,4.0,0.0,0.18,0.18,0.18,11.0,11.0,11.0,50.0,C3 I,2.0,400.0
Mataderos,14.0,1.886,1.6,3.0,1.2,0.18,0.18,0.18,16.26,14.6,24.2,0.0,R2b I,4.0,377.2
Parque Avellaneda,27.0,1.2,1.2,1.2,1.2,0.1,0.1,0.1,12.88,9.0,29.8,25.9,R2b II,4.0,240.0
Parque Chacabuco,4.0,0.933,1.2,1.6,0.0,0.18,0.18,0.18,29.8,29.8,29.8,75.0,C3 II,4.0,186.6
Almagro,30.0,3.192,3.45,4.0,1.6,0.27,0.27,0.27,30.86,29.8,45.0,3.3,R2a II,4.0,638.4
Boedo,3.0,1.733,1.2,4.0,0.0,0.18,0.18,0.18,9.0,9.0,9.0,66.7,RUA,2.0,346.6
Balvanera,20.0,3.001,3.0,4.0,1.6,0.18,0.18,0.18,30.02,24.2,45.0,0.0,C3 I,5.0,600.2
San Cristóbal,,,,,,,,,,,,,,,
Monserrat,37.0,2.287,3.0,5.0,0.0,0.27,0.27,0.27,31.78,29.8,45.0,5.4,APH 1 14,8.0,457.4
San Nicolás,175.0,4.171,5.0,5.0,0.0,0.35,0.35,0.35,35.1,29.8,47.0,30.3,C2,10.0,834.2
San Telmo,4.0,0.0,0.0,0.0,0.0,0.27,0.27,0.27,16.0,16.0,22.0,0.0,APH 1,2.0,0.0
Constitución,45.0,2.703,3.0,5.0,0.0,0.18,0.18,0.18,32.12,29.8,45.0,46.7,RUA,7.0,540.6
Parque Patricios,1.0,,,,,0.18,0.18,0.18,24.2,24.2,24.2,0.0,C3 II,1.0,
Nueva Pompeya,10.0,2.16,2.0,3.0,1.6,0.1,0.1,0.1,18.42,14.6,29.8,10.0,I1,6.0,432.0
Villa Lugano,67.0,1.367,1.2,3.0,0.0,0.1,0.1,0.1,19.26,24.2,24.2,25.4,E2,11.0,273.4
Villa Soldati,18.0,0.333,0.0,2.0,0.0,0.1,0.1,0.1,26.07,24.2,29.8,83.3,U52,4.0,66.6
Villa Riachuelo,2.0,1.2,1.2,1.2,1.2,0.1,0.1,0.1,14.6,14.6,14.6,0.0,R2b II,1.0,240.0
Barracas,37.0,1.711,1.6,5.0,0.0,0.1757,0.1,0.18,22.43,24.2,39.2,21.6,R2b I,9.0,342.2
La Boca,17.0,2.176,2.0,3.0,0.0,0.18,0.18,0.18,18.55,14.6,29.8,11.8,E3 2,5.0,435.2
Recoleta,213.0,3.649,3.33,13.48,0.0,0.35,0.35,0.35,34.03,29.8,45.0,6.1,R2a I,9.0,729.8
Retiro,4.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,17.0,17.0,17.0,50.0,U10,2.0,0.0
Puerto Madero,1.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,,,0.0,100.0,U32,1.0,0.0
Coghlan,3.0,1.2,1.0,1.6,1.0,0.27,0.27,0.27,15.93,9.0,29.8,0.0,R1b II 7,2.0,240.0
