barrio,area_km2,idx_equipamiento,escuelas,universidades,hospitales,clinicas,restaurantes,cafes,bancos,farmacias,comercios,parques,gastronomia
San Nicolás,2.28,100.0,28,14,4,3,139,103,114,32,514,31,242
Monserrat,2.2,66.3,25,5,3,3,112,62,38,26,285,41,174
Balvanera,4.34,62.4,100,16,12,21,76,48,35,61,933,8,124
San Telmo,1.23,61.3,26,3,0,2,93,33,4,5,160,12,126
Recoleta,6.81,59.5,63,19,17,22,148,209,59,85,1480,44,357
Belgrano,8.08,51.5,65,11,3,13,181,152,33,49,2027,64,333
Colegiales,2.28,46.3,31,1,2,11,35,38,10,20,411,13,73
Palermo,15.92,37.6,103,9,7,20,422,335,58,95,2268,103,757
Retiro,4.52,37.0,39,2,1,4,93,76,48,24,335,67,169
Constitución,2.1,36.7,31,3,2,4,33,11,10,13,167,27,44
San Cristóbal,2.05,35.5,46,0,3,6,21,6,5,15,185,11,27
Almagro,4.05,35.1,81,1,7,11,67,40,24,25,320,10,107
Villa Crespo,3.62,34.8,38,0,2,3,75,51,17,19,507,13,126
Caballito,6.85,32.8,85,6,9,7,106,69,26,54,705,29,175
Liniers,4.36,28.2,34,0,1,5,33,12,15,23,657,18,45
Villa Urquiza,5.45,27.0,53,1,1,8,64,36,18,27,601,24,100
Núñez,4.53,26.0,27,0,0,4,51,41,10,18,538,31,92
Villa Real,1.32,22.8,8,0,0,2,6,5,2,6,178,4,11
Boedo,2.61,21.9,20,0,0,2,42,7,9,15,251,4,49
Floresta,2.32,21.5,33,0,0,2,27,7,2,3,185,7,34
Villa Luro,2.57,21.2,18,0,0,2,23,6,3,8,173,30,29
Villa del Parque,3.42,21.1,27,0,1,5,20,13,15,15,271,18,33
Chacarita,3.11,21.0,25,0,0,6,41,20,9,6,228,17,61
Villa Devoto,6.34,20.9,50,1,2,9,53,25,22,15,415,51,78
Villa Ortúzar,1.86,20.5,10,0,1,0,18,9,4,6,195,7,27
Saavedra,5.57,19.2,31,0,3,6,30,28,9,11,325,63,58
Monte Castro,2.63,19.1,22,0,2,1,21,3,6,9,241,5,24
Coghlan,1.28,19.0,8,0,1,2,8,8,0,6,113,4,16
Vélez Sarsfield,2.4,18.9,18,0,0,2,17,1,5,12,199,11,18
Villa Santa Rita,2.15,18.7,11,0,1,3,19,7,4,8,201,7,26
Villa General Mitre,2.18,18.5,21,0,2,0,16,12,4,8,157,4,28
Flores,8.59,18.2,89,1,4,12,44,17,23,30,418,50,61
Parque Chas,1.38,18.2,3,0,1,2,5,6,1,3,161,6,11
Parque Patricios,3.75,16.3,41,1,6,4,28,8,8,8,133,12,36
Barracas,8.12,15.8,74,2,6,9,59,7,17,14,288,53,66
Nueva Pompeya,5.04,14.4,41,0,1,3,27,4,11,10,206,33,31
Mataderos,7.41,12.6,48,0,0,7,32,14,14,16,311,41,46
Versalles,1.4,12.0,3,0,0,0,3,11,0,4,70,11,14
Villa Pueyrredón,3.3,11.7,20,0,0,2,20,8,4,14,165,6,28
Parque Chacabuco,3.83,11.5,29,0,0,7,24,12,7,9,112,12,36
Parque Avellaneda,4.74,10.0,28,0,1,5,10,2,3,7,177,24,12
Villa Lugano,9.32,9.8,83,1,0,11,19,4,5,7,134,59,23
La Boca,5.5,9.8,41,0,3,6,36,3,2,7,89,27,39
La Paternal,2.22,9.3,18,0,1,0,8,3,3,2,40,10,11
Agronomía,2.11,9.2,11,5,1,1,10,6,0,2,61,4,16
Puerto Madero,5.43,8.7,1,2,0,0,68,21,11,3,55,49,89
Villa Soldati,8.82,5.6,52,0,1,6,24,0,2,2,202,21,24
Villa Riachuelo,4.35,0.0,12,0,0,0,3,0,0,3,42,3,3
