barrio,subzona,dist_subte_m,linea_subte_cercana,estacion_cercana,cant_estaciones_800m,subte_5min,subte_10min
Agronomia,Av. San Martin,1821.2,B,Echeverría - Mártires Palotinos,0,False,False
Agronomia,Facultad,1821.2,B,Echeverría - Mártires Palotinos,0,False,False
Agronomia,Resid. Norte,1821.2,B,Echeverría - Mártires Palotinos,0,False,False
Almagro,Medrano,281.9,A,Castro Barros,3,True,True
Almagro,Rivadavia Sur,281.9,A,Castro Barros,3,True,True
Almagro,Castro Barros,281.9,A,Castro Barros,3,True,True
Almagro,Pque Centenario,281.9,A,Castro Barros,3,True,True
Balvanera,Once,189.0,A,Alberti,8,True,True
Balvanera,Congreso,189.0,A,Alberti,8,True,True
Balvanera,Av. Corrientes,189.0,A,Alberti,8,True,True
Balvanera,Pl. Miserere,189.0,A,Alberti,8,True,True
Barracas,Montes de Oca,1791.6,H,Caseros,0,False,False
Barracas,Av. Velez Sarsf.,1791.6,H,Caseros,0,False,False
Barracas,Santa Lucia,1791.6,H,Caseros,0,False,False
Barracas,Dist. Diseno,1791.6,H,Caseros,0,False,False
Belgrano,Belgrano C,1022.8,D,Juramento,0,False,False
Belgrano,Belgrano R,1022.8,D,Juramento,0,False,False
Belgrano,Belgrano Chino,1022.8,D,Juramento,0,False,False
Belgrano,Av. Cabildo,1022.8,D,Juramento,0,False,False
Belgrano,Barrancas,1022.8,D,Juramento,0,False,False
Boedo,San Juan,593.7,E,Boedo,2,False,True
Boedo,Av. Boedo,593.7,E,Boedo,2,False,True
Boedo,Maza,593.7,E,Boedo,2,False,True
Boedo,Carlos Gardel,593.7,E,Boedo,2,False,True
Caballito,Pque Rivadavia,454.6,A,Primera Junta,2,False,True
Caballito,Primera Junta,454.6,A,Primera Junta,2,False,True
Caballito,Pedro Goyena,454.6,A,Primera Junta,2,False,True
Caballito,Rojas,454.6,A,Primera Junta,2,False,True
Chacarita,Av. Corrientes,151.7,B,Federico Lacroze,2,True,True
Chacarita,Dorrego,151.7,B,Federico Lacroze,2,True,True
Chacarita,Cementerio,151.7,B,Federico Lacroze,2,True,True
Chacarita,F. Lacroze,151.7,B,Federico Lacroze,2,True,True
Coghlan,Estacion,1278.5,D,Congreso De Tucuman,0,False,False
Coghlan,Residencial,1278.5,D,Congreso De Tucuman,0,False,False
Coghlan,Av. Congreso,1278.5,D,Congreso De Tucuman,0,False,False
Colegiales,Alvarez Thomas,772.7,D,Olleros,1,False,True
Colegiales,Cabildo,772.7,D,Olleros,1,False,True
Colegiales,Maure,772.7,D,Olleros,1,False,True
Constitucion,Estacion,308.9,E,San Jose,4,True,True
Constitucion,Lima,308.9,E,San Jose,4,True,True
Constitucion,Av. Caseros,308.9,E,San Jose,4,True,True
Constitucion,Huergo,308.9,E,San Jose,4,True,True
Flores,Av. Rivadavia,370.5,E,Varela,3,True,True
Flores,Pedernera,370.5,E,Varela,3,True,True
Flores,Pque Avellaneda,370.5,E,Varela,3,True,True
Flores,Carabobo,370.5,E,Varela,3,True,True
Floresta,Estacion,1322.9,A,San Pedrito,0,False,False
Floresta,Av. Segurola,1322.9,A,San Pedrito,0,False,False
Floresta,Monte,1322.9,A,San Pedrito,0,False,False
La Boca,Caminito,2288.5,C,Constitucion,0,False,False
La Boca,Alte. Brown,2288.5,C,Constitucion,0,False,False
La Boca,Vuelta de Rocha,2288.5,C,Constitucion,0,False,False
La Boca,Catalinas Sur,2288.5,C,Constitucion,0,False,False
Liniers,Estacion,4764.5,A,San Pedrito,0,False,False
Liniers,Av. Rivadavia,4764.5,A,San Pedrito,0,False,False
Liniers,L. de la Torre,4764.5,A,San Pedrito,0,False,False
Mataderos,Av. Eva Peron,4037.5,E,Plaza De Los Virreyes - Eva Perón,0,False,False
Mataderos,Mercado,4037.5,E,Plaza De Los Virreyes - Eva Perón,0,False,False
Mataderos,L. de la Torre,4037.5,E,Plaza De Los Virreyes - Eva Perón,0,False,False
Mataderos,Pque Alberdi,4037.5,E,Plaza De Los Virreyes - Eva Perón,0,False,False
Monserrat,Pl. de Mayo,72.7,C,Moreno,11,True,True
Monserrat,Av. de Mayo,72.7,C,Moreno,11,True,True
Monserrat,San Telmo borde,72.7,C,Moreno,11,True,True
Monserrat,Belgrano Sur,72.7,C,Moreno,11,True,True
Monte Castro,Alvarez Jonte,3617.0,A,San Pedrito,0,False,False
Monte Castro,Lope de Vega,3617.0,A,San Pedrito,0,False,False
Monte Castro,J.B. Justo,3617.0,A,San Pedrito,0,False,False
Nueva Pompeya,Av. Saenz,1185.9,H,Hospitales - Ringo Bonavena,0,False,False
Nueva Pompeya,Puente Alsina,1185.9,H,Hospitales - Ringo Bonavena,0,False,False
Nueva Pompeya,Parque,1185.9,H,Hospitales - Ringo Bonavena,0,False,False
Nueva Pompeya,Polo Tecnol.,1185.9,H,Hospitales - Ringo Bonavena,0,False,False
Nuñez,River,1374.1,D,Congreso De Tucuman,0,False,False
Nuñez,Av. Libertador,1374.1,D,Congreso De Tucuman,0,False,False
Nuñez,Av. Cabildo,1374.1,D,Congreso De Tucuman,0,False,False
Nuñez,Costanera,1374.1,D,Congreso De Tucuman,0,False,False
Palermo,Soho,594.8,D,Palermo,1,False,True
Palermo,Hollywood,594.8,D,Palermo,1,False,True
Palermo,Chico,594.8,D,Palermo,1,False,True
Palermo,Bosques,594.8,D,Palermo,1,False,True
Palermo,Viejo,594.8,D,Palermo,1,False,True
Parque Avellaneda,Av. Directorio,1480.3,E,Plaza De Los Virreyes - Eva Perón,0,False,False
Parque Avellaneda,Parque,1480.3,E,Plaza De Los Virreyes - Eva Perón,0,False,False
